OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PKPRC02,Prickly Pear Creek above Tenmile Ck,River/Stream,Prickly Pear Creek above Tenmile Ck,10030101,,,,,46.6606670000,-111.9754100000,,,,GPS-Unspecified,WGS84,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PKPRC05,Prickly Pear Creek below E. Helena,River/Stream,Prickly Pear Creek below E. Helena,10030101,,,,,46.5980280000,-111.9305500000,,,,GPS-Unspecified,WGS84,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PKPRC10,Prickly Pear Creek near Jeffeson City,River/Stream,Prickly Pear Creek near Jeffeson City,10030101,,,,,46.3980550000,-112.0180500000,,,,GPS-Unspecified,WGS84,,,,,,,US,30,043,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PKPRC14,Prickly Pear Creek downstream from McClenllan Creek,River/Stream,Prickly Pear Creek downstream from McClenllan Creek,10030101,,,,,46.5693100000,-111.9154000000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,043,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PKPRC15,Prickly Pear Creek just downstream Hwy 282 crossing,River/Stream,Prickly Pear Creek just downstream Hwy 282 crossing,10030101,,,,,46.5123900000,-111.9482900000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,043,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PKPRC18,Prickly Pear Creek at Helena WWTP discharge ditch,River/Stream,Prickly Pear Creek at Helena WWTP discharge ditch,10030101,,,,,46.6849340000,-111.9686800000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PKPRC20,Prickly Pear Ck at Canyon Ferry Rd. crossing,River/Stream,Prickly Pear Ck at Canyon Ferry Rd. crossing,10030101,,,,,46.6169350000,-111.9605950000,,,,GPS-Unspecified,WGS84,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PKPRC22,Prickly Pear Creek 2 mi. u/s confluence Tenmile Creek,River/Stream,Prickly Pear Creek 2 mi. u/s confluence Tenmile Creek,10030101,,,,,46.6479990000,-111.9763770000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PKPRC30,Prickly Pear Ck 1 mile upstream of HWY 12 crossing,River/Stream,Prickly Pear Ck 1 mile upstream of HWY 12 crossing,10030101,,,,,46.5765780000,-111.9149180000,,,,GPS-Unspecified,WGS84,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PREPC02,Prickly Pear Creek at Montana Law Enforcement Acadamy,River/Stream,Prickly Pear Creek at Montana Law Enforcement Acadamy,10030101,,,,,46.6612300000,-111.9761900000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09PRPEC01,Prickly Pear Creek near Clancy,River/Stream,Prickly Pear Creek near Clancy,10030101,,,,,46.5161110000,-111.9477780000,,,,GPS Code (Pseudo Range) Differential,NAD27,,,,,,,US,30,043,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09SIXTC03,Sixteenmile Creek near the mouth (Missouri River),River/Stream,Sixteenmile Creek near the mouth (Missouri River),10030101,,,,,46.1083200000,-111.3950700000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,007,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09SLVRC03,Silver Creek at S. CK Estates Rd,River/Stream,Silver Creek at S. CK Estates Rd,10030101,,,,,46.6989720000,-112.1061900000,,,,GPS-Unspecified,WGS84,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09SLVRC04,Silver Creek at John G Mine Rd,River/Stream,Silver Creek at John G Mine Rd,10030101,,,,,46.6897000000,-112.0527720000,,,,GPS-Unspecified,WGS84,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09SPMDL01,Spring Meadow Lake,Lake,Spring Meadow Lake,10030101,,,,,46.6111000000,-112.0762000000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09SVNMC02,Sevenmile Creek u/s of bridge 150ft N of RR tracks,River/Stream,"Sevenmile Creek u/s of bridge, 150ft N of RR tracks",10030101,,,,,46.6491670000,-112.1213890000,,,,GPS Code (Pseudo Range) Differential,WGS84,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09SVNMC03,Sevenmile Creek at Head Lane crossing,River/Stream,Sevenmile Creek at Head Lane crossing,10030101,,,,,46.6367590000,-112.0845240000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09TENMC02,Tenmile Creek u/s of Green Meadow Dr,River/Stream,"Tenmile Creek u/s of Green Meadow Dr, 100",10030101,,,,,46.6316670000,-112.0472220000,,,,GPS Code (Pseudo Range) Differential,WGS84,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09TENMC09,Tenmile Creek at Williams Street bridge,River/Stream,Tenmile Creek at Williams Street bridge,10030101,,,,,46.6049700000,-112.0881900000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09TENMC10,"Tenmile Creek at Sierra Road crossing, above mouth",River/Stream,"Tenmile Creek at Sierra Road crossing, above mouth",10030101,,,,,46.6607400000,-111.9899400000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09TENMC15,Tenmile Creek u/s of Hwy 12 crossing,River/Stream,Tenmile Creek u/s of Hwy 12 crossing,10030101,,,,,46.5768300000,-112.1563060000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09TENMC20,Tenmile Creek at Tenmile Cr Park,River/Stream,"Tenmile Creek at Tenmile Cr Park, near Springmeadow Lake",10030101,,,,,46.6114600000,-112.0804500000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09TENMC65,Tenmile Creek upstream of Tenmile Cr campground,River/Stream,Tenmile Creek upstream of Tenmile Cr campground,10030101,,,,,46.5340900000,-112.2488900000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M09WMSC01,Warm Springs Creek 1 mi N of Clancy,River/Stream,"Warm Springs Creek, 1 mi N of Clancy",10030101,,,,,46.4502780000,-111.9861110000,,,,GPS Code (Pseudo Range) Differential,WGS84,,,,,,,US,30,043,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10BBCHC01,Big Birch Creek at mouth,River/Stream,Big Birch Creek at mouth,10030103,,,,,46.5883200000,-111.0543500000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10BENTG01,Benton Gulch at mouth and upstream confluence with Smith,River/Stream,Benton Gulch at mouth and upstream confluence with Smith,10030103,,,,,46.7055100000,-111.1942900000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10BEVRC14,Beaver Creek at Clear Range Rd crossing,River/Stream,at Clear Range Road crossing,10030103,,,,,46.7417500000,-111.2170600000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10CMASC01,Camas Creek at mouth,River/Stream,Camas Creek at mouth,10030103,,,,,46.7043100000,-111.1927800000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10CMASC04,Camas Creek at Hwy 360,River/Stream,Camas Creek at Hwy 360,10030103,,,,,46.6782400000,-111.1938800000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10CMASC05,Camas Creek 1 mi u/s of mouth,River/Stream,Camas Creek 1 mi u/s of mouth,10030103,,,,,46.6920000000,-111.1884000000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10DEEPC01,Deep Creek near mouth,River/Stream,Deep Creek near mouth,10030103,,,,,47.1062300000,-111.2733700000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10FORMC01,Fourmile Creek just past USFS and private land boundary,River/Stream,Fourmile Creek just past USFS and private land boundary,10030103,,,,,46.5620000000,-110.7488000000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10HONDC01,Hound Creek 1 mile upstream from mouth,River/Stream,"Hound Creek 1 mile upstream from mouth, 1/8 mi downstream of Millegan Rd Bridge",10030103,,,,,47.2138890000,-111.4091670000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10MOOSC07,Moose Creek at Moose Creek Campground,River/Stream,Moose Creek at Moose Creek Campground,10030103,,,,,46.8339000000,-110.8767000000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10NEWLC03,Newlan Creek upstream of confluence with Smith River,River/Stream,Newlan Creek upstream of confluence with Smith River,10030103,,,,,46.5905100000,-111.0495800000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SHEPC01,Sheep Creek near mouth,River/Stream,Sheep Creek near mouth,10030103,,,,,46.8071800000,-111.1610700000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SHEPC06,Sheep Creek about 1 mile upstream of Moose Creek,River/Stream,Sheep Creek about 1 mile upstream of Moose Creek,10030103,,,,,46.7928100000,-110.9111200000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SHEPC12,Sheep Creek at the mouth,River/Stream,Sheep Creek at the mouth,10030103,,,,,46.8041900000,-111.1829700000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMRNF01,Smith River North Fork upstream of confluence,River/Stream,Smith River North Fork upstream of confluence,10030103,,,,,46.5270900000,-110.9666300000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMRSF03,"Smith River South Fork at Slaughter House Ln crossing, u/s Cooks Creek",River/Stream,"Smith River South Fork at Slaughter House Ln crossing, u/s Cooks Creek",10030103,,,,,46.5240100000,-110.9723200000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR01,Smith River at Eden Bridge,River/Stream,Smith River at Eden Bridge,10030103,,,,,47.2361500000,-111.3888000000,,,,GPS Code (Pseudo Range) Differential,NAD27,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR04,Smith River 200 feet above Hwy 360 bridge,River/Stream,Smith River 200 feet above Hwy 360 bridge,10030103,,,,,46.6762500000,-111.1479300000,,,,Unknown,UNKWN,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR05B,Smith River on state land just upstream of mouth,River/Stream,Smith River on state land just upstream of mouth,10030103,,,,,47.3999400000,-111.4801600000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR06,"Smith River at Camp Baker, upstream Sheep Creek confluence",River/Stream,"Smith River at Camp Baker, upstream Sheep Creek confluence",10030103,,,,,46.8021700000,-111.1802600000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR09,Smith River downstream Hound Creek,River/Stream,Smith River downstream Hound Creek,10030103,,,,,47.2281300000,-111.3934800000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR10,Smith River upstream Hound Creek,River/Stream,Smith River upstream Hound Creek,10030103,,,,,47.2038300000,-111.3821510000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR12,Smith River,River/Stream,Smith River,10030103,,,,,47.1783300000,-111.3404360000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR14,"Smith River at Rattlesnake Boat Camp, just outside the canyon",River/Stream,"Smith River at Rattlesnake Boat Camp, just outside the canyon",10030103,,,,,47.1505400000,-111.3184400000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR14A,Smith River at Black Butte,River/Stream,Smith River at Black Butte,10030103,,,,,47.1508000000,-111.2903700000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR14B,Smith River,River/Stream,Smith River,10030103,,,,,47.1287200000,-111.2710600000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR15,Smith River just downstream Deep Creek,River/Stream,Smith River just downstream Deep Creek,10030103,,,,,47.1085900000,-111.2800400000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR16,Smith River upstream Deep Creek at Paradise Bend,River/Stream,Smith River upstream Deep Creek at Paradise Bend,10030103,,,,,47.1038200000,-111.2823500000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR17,Smith River at Fraunhofer Boat Camp,River/Stream,Smith River at Fraunhofer Boat Camp,10030103,,,,,47.0796900000,-111.2750300000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR18,Smith River at Crow's Foot Boat Camp,River/Stream,Smith River at Crow's Foot Boat Camp,10030103,,,,,47.0580300000,-111.2679800000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR19,Smith River downstream Bear Gulch Spring,River/Stream,Smith River downstream Bear Gulch Spring,10030103,,,,,47.0323100000,-111.2787800000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR20,Smith River at Heaven on Earth Ranch,River/Stream,Smith River at Heaven on Earth Ranch,10030103,,,,,47.0321300000,-111.2863200000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR30,Smith River at county line,River/Stream,Smith River at county line,10030103,,,,,47.0020900000,-111.2900600000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR40,Smith River at Castle Bar Road,River/Stream,Smith River at Castle Bar Road,10030103,,,,,46.9772400000,-111.2857700000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR46,Smith River,River/Stream,Smith River,10030103,,,,,46.9538300000,-111.2831090000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR48,Smith River upstream Tenderfoot Creek confluence,River/Stream,Smith River upstream Tenderfoot Creek confluence,10030103,,,,,46.9413900000,-111.2945500000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR50,Smith River,River/Stream,Smith River,10030103,,,,,46.9286840000,-111.2782620000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR53,Smith River downstream Blacktail Creek,River/Stream,Smith River downstream Blacktail Creek,10030103,,,,,46.9048680000,-111.2717320000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR58,Smith River downstream Rock Creek confluence,River/Stream,Smith River downstream Rock Creek confluence,10030103,,,,,46.8706600000,-111.2712000000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR61,Smith River downstream Indian Springs Boat Camp,River/Stream,Smith River downstream Indian Springs Boat Camp,10030103,,,,,46.8556080000,-111.2481480000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR68,Smith River above Whitetail Deer Creek,River/Stream,Smith River above Whitetail Deer Creek,10030103,,,,,46.7513200000,-111.1686900000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR74,Smith River at Fort Logan FAS,River/Stream,Smith River at Fort Logan FAS,10030103,,,,,46.7280200000,-111.1757600000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR76,Smith River above Rock Springs Creek,River/Stream,Smith River above Rock Springs Creek,10030103,,,,,46.6325600000,-111.0917100000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR78,Smith River just upstream Camas Creek confluence,River/Stream,Smith River just upstream Camas Creek confluence,10030103,,,,,46.7051300000,-111.1922900000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR92,Smith River d/s Newlan Creek confluence,River/Stream,Smith River d/s Newlan Creek confluence,10030103,,,,,46.5915200000,-111.0569100000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10SMTHR95,Smith River at Birch Creek Road,River/Stream,Smith River at Birch Creek Road,10030103,,,,,46.5484400000,-111.0090300000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10TNDFC02,Tenderfoot Creek at mouth,River/Stream,Tenderfoot Creek at mouth,10030103,,,,,46.9417480000,-111.2943640000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M10WHTDC01,Whitetail Deer Creek near mouth,River/Stream,Whitetail Deer Creek near mouth,10030103,,,,,46.7516600000,-111.1662400000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,059,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M11BELTC03,Belt Creek u/s Salem Rd bridge 700 ft,River/Stream,Belt Creek u/s Salem Rd bridge 700 ft,10030105,,,,,47.5824640000,-111.0304750000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,015,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M11BELTC70,Belt Creek off Hwy 89,River/Stream,Belt Creek off Hwy 89,10030105,,,,,47.0430800000,-110.7914300000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M12DBRMF04,Dearborn River Middle Fork downhill from Hwy 200,River/Stream,Dearborn River Middle Fork downhill from Hwy 200,10030102,,,,,47.0914000000,-112.3618000000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M12DRBNR01,Dearborn River at Hwy 287,River/Stream,Dearborn River at Hwy 287,10030102,,,,,47.1986110000,-112.0930560000,,,,GPS Code (Pseudo Range) Differential,NAD27,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M12DRBNR04,Dearborn River at HWY 287,River/Stream,Dearborn River at HWY 287,10030102,,,,,47.1987500000,-112.0950000000,,,,GPS-Unspecified,WGS84,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M12LNPNC01,Lone Pine Creek near mouth,River/Stream,Lone Pine Creek near mouth,10030102,,,,,47.2133000000,-112.4949000000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,049,,,,,,,,,,STORET
MDEQ_WQ_WQX,Montana DEQ WQPB,MDEQ_WQ_WQX-M12MISSR06,Missouri River at Millegan Rd crossing in Ulm,River/Stream,Missouri River at Millegan Rd crossing in Ulm,10030102,,,,,47.4303900000,-111.5009100000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,30,013,,,,,,,,,,STORET
